City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,
502,Bardiyah,LY,85.3,clear sky,31.7561,25.0865,
505,Ambon,ID,77.14,light rain,-3.6954,128.1814,
506,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,
515,Gazanjyk,TM,83.19,clear sky,39.2446,55.5154,
517,Pucallpa,PE,89.64,few clouds,-8.3791,-74.5539,
519,Teguise,ES,77.22,scattered clouds,29.0605,-13.564,
523,Avera,US,79.48,moderate rain,33.194,-82.5271,
524,Ruy Barbosa,BR,88.16,overcast clouds,-12.2839,-40.4939,
526,Akyab,MM,81.28,overcast clouds,20.15,92.9,
527,Luganville,VU,75.16,broken clouds,-15.5333,167.1667,
530,Sarakhs,IR,84.34,clear sky,36.5449,61.1577,
531,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,
532,Westport,US,75.18,clear sky,41.1415,-73.3579,
536,Takoradi,GH,80.87,light rain,4.8845,-1.7554,
540,Odweyne,SO,77.83,broken clouds,9.4092,45.064,
542,Labe,GN,79.57,light rain,11.3182,-12.2833,
545,Salinopolis,BR,85.24,clear sky,-0.6136,-47.3561,
546,San Diego De Los Banos,CU,85.93,scattered clouds,22.6467,-83.3697,
550,Wattegama,LK,78.35,broken clouds,6.7989,81.4808,
553,Cumpas,MX,76.28,few clouds,29.9833,-109.7833,
556,Banda Aceh,ID,80.15,light rain,5.5577,95.3222,
557,Roebourne,AU,83.64,broken clouds,-20.7833,117.1333,
558,Inirida,CO,88.48,broken clouds,3.8653,-67.9239,
560,Beckley,US,75.09,few clouds,37.7782,-81.1882,
562,Matara,LK,80.04,overcast clouds,5.9485,80.5353,
564,Tabuk,PH,75.76,light rain,17.4189,121.4443,
567,Hirara,JP,83.95,clear sky,24.8,125.2833,
569,Defiance,US,79.09,broken clouds,41.3334,-84.45,
570,Davila,PH,80.58,overcast clouds,18.4726,120.5763,
573,Sao Filipe,CV,80.76,overcast clouds,14.8961,-24.4956,
579,Ilhabela,BR,77.79,clear sky,-23.7781,-45.3581,
582,Stephenville,US,84.94,clear sky,32.2207,-98.2023,
583,Sorong,ID,76.98,overcast clouds,-0.8833,131.25,
584,Udankudi,IN,84.31,broken clouds,8.4333,78.0167,
587,Oistins,BB,89.69,few clouds,13.0667,-59.5333,
591,Nong Bua,TH,76.86,light rain,15.8646,100.5858,
596,Chlorakas,CY,85.55,clear sky,34.8042,32.4083,
600,Conway,US,80.82,few clouds,35.0887,-92.4421,
604,Mitsamiouli,KM,76.6,scattered clouds,-11.3847,43.2844,
611,Saravena,CO,84.27,broken clouds,6.9538,-71.8752,
613,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,
614,Avon Park,US,87.75,overcast clouds,27.5959,-81.5062,
617,Pasighat,IN,78.73,clear sky,28.0667,95.3333,
619,Muscat,OM,87.82,clear sky,23.6139,58.5922,
