City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Cumberland,US,35.0502,-78.8664,81.7,73,75,8.05,broken clouds
193,San Borja,BO,-14.8167,-66.85,98.17,31,11,6.15,few clouds
194,Wajir,KE,1.7471,40.0573,91.85,27,28,16.93,scattered clouds
195,Salalah,OM,17.0151,54.0924,80.69,89,75,9.22,broken clouds
196,Port Macquarie,AU,-31.4333,152.9167,60.69,77,75,17.27,broken clouds
197,Moron,AR,-34.6534,-58.6198,65.01,79,95,10.0,overcast clouds
198,Chuy,UY,-33.6971,-53.4616,68.16,91,100,6.53,overcast clouds
199,Flinders,AU,-34.5833,150.8552,52.81,67,33,1.99,scattered clouds
200,Kloulklubed,PW,7.0419,134.2556,75.7,77,100,3.69,overcast clouds
201,Gedo,ET,9.0167,37.45,58.01,84,76,2.1,light rain
202,Naryan-Mar,RU,67.6713,53.087,38.66,84,89,10.8,overcast clouds
203,Toribio,CO,2.9548,-76.2684,73.36,56,28,2.62,scattered clouds
204,Taoudenni,ML,22.6783,-3.9836,112.42,6,0,7.61,clear sky
205,Ankazoabo,MG,-22.2833,44.5167,78.93,28,1,9.98,clear sky
206,Norman Wells,CA,65.282,-126.8329,37.67,85,4,7.72,clear sky
207,Taksimo,RU,56.3444,114.8794,47.19,87,89,1.01,overcast clouds
208,Vegreville,CA,53.5001,-112.0518,45.54,73,91,9.13,overcast clouds
209,Trinidad,BO,-14.8333,-64.9,91.02,41,78,5.55,broken clouds
210,Ribeira Grande,PT,38.5167,-28.7,75.6,64,20,13.8,few clouds
211,Mangan,IN,27.5167,88.5333,74.28,87,64,3.13,broken clouds
212,Behbahan,IR,30.5959,50.2417,93.11,10,0,8.63,clear sky
213,Sur,OM,22.5667,59.5289,87.48,61,2,12.46,clear sky
214,Santa Rosa,PH,14.3122,121.1114,79.11,89,99,5.64,overcast clouds
215,Talnakh,RU,69.4865,88.3972,31.28,80,79,7.52,broken clouds
216,Mackenzie,CA,55.2999,-123.1698,38.5,97,100,4.56,overcast clouds
217,Lazarev,RU,52.225,141.5131,50.25,65,5,10.78,clear sky
218,Dubbo,AU,-32.25,148.6167,46.53,76,38,9.22,scattered clouds
219,Hobyo,SO,5.3505,48.5268,78.44,79,96,23.53,overcast clouds
220,Severo-Kurilsk,RU,50.6789,156.125,48.85,79,13,22.15,few clouds
221,Utete,TZ,-7.986,38.758,80.1,54,72,10.33,broken clouds
