City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Half Moon Bay,37.4636,-122.4286,68.7,85,1,1.01,US,2021-09-15 04:33:36
137,Outlook,51.5001,-107.0513,58.69,36,100,9.57,CA,2021-09-15 04:35:34
138,San Juan,-31.5375,-68.5364,52.81,23,0,1.05,AR,2021-09-15 04:35:34
139,Yulin,22.6333,110.15,85.93,75,62,6.82,CN,2021-09-15 04:35:34
140,Alberton,46.8168,-64.0654,53.51,66,72,6.71,CA,2021-09-15 04:35:34
141,Cyangugu,-2.4846,28.9075,67.91,64,80,1.1,RW,2021-09-15 04:35:35
142,Dandong,40.1292,124.3947,75.0,66,55,4.03,CN,2021-09-15 04:32:03
143,Kisesa,-3.0833,34.15,69.94,48,53,6.11,TZ,2021-09-15 04:35:35
144,Hami,42.8,93.45,83.48,15,24,6.04,CN,2021-09-15 04:35:35
145,Asopos,36.7333,22.8667,74.01,39,0,5.57,GR,2021-09-15 04:35:35
146,Avarua,-21.2078,-159.775,77.05,78,75,8.05,CK,2021-09-15 04:35:36
147,Khorramshahr,30.4397,48.1664,89.56,27,0,9.22,IR,2021-09-15 04:35:36
148,Saskylakh,71.9167,114.0833,49.05,74,100,8.66,RU,2021-09-15 04:35:36
149,Tainan,22.9908,120.2133,89.51,62,75,5.75,TW,2021-09-15 04:35:36
150,Cape Town,-33.9258,18.4232,52.12,76,20,5.75,ZA,2021-09-15 04:31:26
151,Los Llanos De Aridane,28.6585,-17.9182,67.75,75,0,5.75,ES,2021-09-15 04:35:37
152,Chara,56.9064,118.2631,43.27,92,100,6.15,RU,2021-09-15 04:32:10
153,Kapaa,22.0752,-159.319,84.18,74,5,1.99,US,2021-09-15 04:35:37
154,Canyon,34.9803,-101.9188,75.65,47,46,7.34,US,2021-09-15 04:30:55
155,Berlevag,70.8578,29.0864,39.2,74,100,5.53,NO,2021-09-15 04:35:37
156,Sarangani,5.4033,125.4636,81.54,76,100,18.61,PH,2021-09-15 04:35:38
157,Mersing,2.4312,103.8405,85.91,84,40,9.22,MY,2021-09-15 04:35:38
158,Port Lincoln,-34.7333,135.8667,57.58,65,76,12.86,AU,2021-09-15 04:35:38
159,Katsuura,35.1333,140.3,80.64,77,98,12.01,JP,2021-09-15 04:35:39
160,Vitoria Da Conquista,-14.8661,-40.8394,61.7,79,1,2.17,BR,2021-09-15 04:35:39
161,Suntar,62.1444,117.6319,56.14,41,41,9.64,RU,2021-09-15 04:35:39
162,Cherskiy,68.75,161.3,39.56,93,100,7.29,RU,2021-09-15 04:35:39
163,Yaan,7.3833,8.5667,72.03,97,100,3.29,NG,2021-09-15 04:35:40
